USR;TWEET;LANG;DATE;CLAS
M74OHkZlGsqVLRv;@DuongTien990 Bitcoin Gold (BTG) successfully launch mainned and 12 global exchanges start trades! If you have bala… https://t.co/5eKYfTZq1X;en;2018-02-09 13:51:00;NEUTRO
whats_a_bitcoin;If you want to earn money by mining bitcoins, read these tips: https://t.co/P3u5EV35il #bitcoin #mining #earnmoney #btc #cryptocurrency;en;2018-02-09 13:51:00;NEUTRO
Openthemag;At its peak, Bitcoin was worth over a quarter trillion dollars in market value. More than 40 per cent of its value… https://t.co/dO03zVR6tM;en;2018-02-09 13:51:00;NEUTRO
CoinsAnalyst;"🔥 ICO PRE-SALE: 35% BONUS 🔥

TOKIA: the Fiery Tango of Hard Cash and Cryptocurrencies

GET BONUS here:… https://t.co/YI06ks1NjN";en;2018-02-09 13:51:00;NEUTRO
Sanjay_Uppal;@M1Singapore .... I keep receiving spam calls from #Bitcoin sellers... one number a short while ago - 96943035. Can you block these guys....;en;2018-02-09 13:51:01;NEUTRO
daretothink53;"RT @ncweaver: Back in 2013 I did a talk on the crazyness of Bitcoin then.  It was stupid &amp; crazy then.  That space is stupider and crazier…";en;2018-02-09 13:51:01;NEUTRO
crypto_data;Cheap mining, sign up to Genesis Mining https://t.co/ttS5uXwOTY 3% off any purchase. #Bitcoin #Ethereum… https://t.co/YObgIYXvrj;en;2018-02-09 13:51:01;NEUTRO
lendel_farias;RT @TeenageBuffet: Ripple can operate in china, bitcoin cannot!;en;2018-02-09 13:51:01;NEUTRO
M74OHkZlGsqVLRv;@CryptogramTR Bitcoin Gold (BTG) successfully launch mainned and 12 global exchanges start trades! If you have bala… https://t.co/xcEw3WWyvG;en;2018-02-09 13:51:02;NEUTRO
jbWbLQY7ysXpt8N;@acemitr Bitcoin Gold (BTG) successfully launch mainned and 12 global exchanges start trades! If you have balance o… https://t.co/p99CPFNgyU;en;2018-02-09 13:51:01;NEUTRO
sandieweber563;RT @Ozzmak: Join The eCoinNetwork https://t.co/Z5t6bsfUcA #ecoinnetwork #bitcoin #ecoin #ozzmak https://t.co/FzIuYFYjRo;en;2018-02-09 13:51:03;NEUTRO
M74OHkZlGsqVLRv;@trioptr Bitcoin Gold (BTG) successfully launch mainned and 12 global exchanges start trades! If you have balance o… https://t.co/iWQx7WU2Tl;en;2018-02-09 13:51:04;NEUTRO
pgray2016;RT @FinancialTimes: The French and German governments have just joined the chorus of regulators and politicians calling for a crackdown on…;en;2018-02-09 13:51:04;NEUTRO
